lineRank,productName,slug,fieldKey,fieldLabel,valueToFill,expectedFormat,rejectIf,expectedFileName,webpStatus,checklistStatus,evidenceStatus,checklistPath,dropFolder,targetPublicPath,nextAction
"3.1","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","source_image_exacte","Source image exacte","A_REMPLIR_DANS_CHECKLIST","origine interne redigee ou reference fournisseur gardee hors artefact client","image similaire, recherche generique, URL client, marketplace visible","cable-usb-c-240w-renforce-best-seller.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","Remplir le champ ""Source image exacte"" dans la checklist, garder HOLD, puis relancer les audits image."
"3.2","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","droits_image","Droits image","A_REMPLIR_DANS_CHECKLIST","permission fournisseur, photo propre Maxi Trouvaille ou licence utilisable","droits inconnus, logo plateforme, watermark, image non autorisee","cable-usb-c-240w-renforce-best-seller.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","Remplir le champ ""Droits image"" dans la checklist, garder HOLD, puis relancer les audits image."
"3.3","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","meme_article_exact_confirme","Meme article exact confirme","A_REMPLIR_DANS_CHECKLIST","oui avec comparaison nom, forme, fonction, accessoires et lot vendu","produit proche, kit different, accessoire en plus, marque trompeuse","cable-usb-c-240w-renforce-best-seller.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","Remplir le champ ""Meme article exact confirme"" dans la checklist, garder HOLD, puis relancer les audits image."
"3.4","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","variante_exacte_confirmee","Variante exacte confirmee","A_REMPLIR_DANS_CHECKLIST","couleur, taille, capacite, connectique et quantite identiques a la fiche","variante non prouvee, couleur differente, pack affiche mais unite vendue","cable-usb-c-240w-renforce-best-seller.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","Remplir le champ ""Variante exacte confirmee"" dans la checklist, garder HOLD, puis relancer les audits image."
"3.5","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","validation_mouss","Validation Mouss","A_REMPLIR_DANS_CHECKLIST","validation humaine explicite avec date ou mention revue faite","auto-validation, champ vide, doute image, avis non humain","cable-usb-c-240w-renforce-best-seller.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","Remplir le champ ""Validation Mouss"" dans la checklist, garder HOLD, puis relancer les audits image."
"3.6","Câble USB-C 240W renforcé best-seller","cable-usb-c-240w-renforce-best-seller","decision_copie_publique","Decision copie publique","A_REMPLIR_DANS_CHECKLIST","HOLD ou READY_COPY_AFTER_MOUSS seulement apres preuves completes","READY sans WebP exact, droits, meme article, variante et validation Mouss","cable-usb-c-240w-renforce-best-seller.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/depot-manuel","/uploads/partner-products/cable-usb-c-240w-renforce-best-seller.webp","Remplir le champ ""Decision copie publique"" dans la checklist, garder HOLD, puis relancer les audits image."
"4.1","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","source_image_exacte","Source image exacte","A_REMPLIR_DANS_CHECKLIST","origine interne redigee ou reference fournisseur gardee hors artefact client","image similaire, recherche generique, URL client, marketplace visible","lampe-velo-usb-rechargeable-affichage-batterie.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","Remplir le champ ""Source image exacte"" dans la checklist, garder HOLD, puis relancer les audits image."
"4.2","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","droits_image","Droits image","A_REMPLIR_DANS_CHECKLIST","permission fournisseur, photo propre Maxi Trouvaille ou licence utilisable","droits inconnus, logo plateforme, watermark, image non autorisee","lampe-velo-usb-rechargeable-affichage-batterie.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","Remplir le champ ""Droits image"" dans la checklist, garder HOLD, puis relancer les audits image."
"4.3","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","meme_article_exact_confirme","Meme article exact confirme","A_REMPLIR_DANS_CHECKLIST","oui avec comparaison nom, forme, fonction, accessoires et lot vendu","produit proche, kit different, accessoire en plus, marque trompeuse","lampe-velo-usb-rechargeable-affichage-batterie.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","Remplir le champ ""Meme article exact confirme"" dans la checklist, garder HOLD, puis relancer les audits image."
"4.4","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","variante_exacte_confirmee","Variante exacte confirmee","A_REMPLIR_DANS_CHECKLIST","couleur, taille, capacite, connectique et quantite identiques a la fiche","variante non prouvee, couleur differente, pack affiche mais unite vendue","lampe-velo-usb-rechargeable-affichage-batterie.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","Remplir le champ ""Variante exacte confirmee"" dans la checklist, garder HOLD, puis relancer les audits image."
"4.5","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","validation_mouss","Validation Mouss","A_REMPLIR_DANS_CHECKLIST","validation humaine explicite avec date ou mention revue faite","auto-validation, champ vide, doute image, avis non humain","lampe-velo-usb-rechargeable-affichage-batterie.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","Remplir le champ ""Validation Mouss"" dans la checklist, garder HOLD, puis relancer les audits image."
"4.6","Lampe vélo USB rechargeable affichage batterie","lampe-velo-usb-rechargeable-affichage-batterie","decision_copie_publique","Decision copie publique","A_REMPLIR_DANS_CHECKLIST","HOLD ou READY_COPY_AFTER_MOUSS seulement apres preuves completes","READY sans WebP exact, droits, meme article, variante et validation Mouss","lampe-velo-usb-rechargeable-affichage-batterie.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/depot-manuel","/uploads/partner-products/lampe-velo-usb-rechargeable-affichage-batterie.webp","Remplir le champ ""Decision copie publique"" dans la checklist, garder HOLD, puis relancer les audits image."
"5.1","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","source_image_exacte","Source image exacte","A_REMPLIR_DANS_CHECKLIST","origine interne redigee ou reference fournisseur gardee hors artefact client","image similaire, recherche generique, URL client, marketplace visible","support-pc-portable-pliant-aluminium-ajustable.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","Remplir le champ ""Source image exacte"" dans la checklist, garder HOLD, puis relancer les audits image."
"5.2","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","droits_image","Droits image","A_REMPLIR_DANS_CHECKLIST","permission fournisseur, photo propre Maxi Trouvaille ou licence utilisable","droits inconnus, logo plateforme, watermark, image non autorisee","support-pc-portable-pliant-aluminium-ajustable.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","Remplir le champ ""Droits image"" dans la checklist, garder HOLD, puis relancer les audits image."
"5.3","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","meme_article_exact_confirme","Meme article exact confirme","A_REMPLIR_DANS_CHECKLIST","oui avec comparaison nom, forme, fonction, accessoires et lot vendu","produit proche, kit different, accessoire en plus, marque trompeuse","support-pc-portable-pliant-aluminium-ajustable.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","Remplir le champ ""Meme article exact confirme"" dans la checklist, garder HOLD, puis relancer les audits image."
"5.4","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","variante_exacte_confirmee","Variante exacte confirmee","A_REMPLIR_DANS_CHECKLIST","couleur, taille, capacite, connectique et quantite identiques a la fiche","variante non prouvee, couleur differente, pack affiche mais unite vendue","support-pc-portable-pliant-aluminium-ajustable.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","Remplir le champ ""Variante exacte confirmee"" dans la checklist, garder HOLD, puis relancer les audits image."
"5.5","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","validation_mouss","Validation Mouss","A_REMPLIR_DANS_CHECKLIST","validation humaine explicite avec date ou mention revue faite","auto-validation, champ vide, doute image, avis non humain","support-pc-portable-pliant-aluminium-ajustable.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","Remplir le champ ""Validation Mouss"" dans la checklist, garder HOLD, puis relancer les audits image."
"5.6","Support PC portable pliant aluminium ajustable","support-pc-portable-pliant-aluminium-ajustable","decision_copie_publique","Decision copie publique","A_REMPLIR_DANS_CHECKLIST","HOLD ou READY_COPY_AFTER_MOUSS seulement apres preuves completes","READY sans WebP exact, droits, meme article, variante et validation Mouss","support-pc-portable-pliant-aluminium-ajustable.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/PREUVE_IMAGE_support-pc-portable-pliant-aluminium-ajustable.md","business-maxi-trouvailles/preuves-images-publiques/support-pc-portable-pliant-aluminium-ajustable/depot-manuel","/uploads/partner-products/support-pc-portable-pliant-aluminium-ajustable.webp","Remplir le champ ""Decision copie publique"" dans la checklist, garder HOLD, puis relancer les audits image."
"6.1","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","source_image_exacte","Source image exacte","A_REMPLIR_DANS_CHECKLIST","origine interne redigee ou reference fournisseur gardee hors artefact client","image similaire, recherche generique, URL client, marketplace visible","attaches-cables-velcro-lot-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/PREUVE_IMAGE_attaches-cables-velcro-lot-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel","/uploads/partner-products/attaches-cables-velcro-lot-partenaire-hold.webp","Remplir le champ ""Source image exacte"" dans la checklist, garder HOLD, puis relancer les audits image."
"6.2","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","droits_image","Droits image","A_REMPLIR_DANS_CHECKLIST","permission fournisseur, photo propre Maxi Trouvaille ou licence utilisable","droits inconnus, logo plateforme, watermark, image non autorisee","attaches-cables-velcro-lot-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/PREUVE_IMAGE_attaches-cables-velcro-lot-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel","/uploads/partner-products/attaches-cables-velcro-lot-partenaire-hold.webp","Remplir le champ ""Droits image"" dans la checklist, garder HOLD, puis relancer les audits image."
"6.3","Attaches cables velcro lot","attaches-cables-velcro-lot-partenaire-hold","meme_article_exact_confirme","Meme article exact confirme","A_REMPLIR_DANS_CHECKLIST","oui avec comparaison nom, forme, fonction, accessoires et lot vendu","produit proche, kit different, accessoire en plus, marque trompeuse","attaches-cables-velcro-lot-partenaire-hold.webp","WEBP_MANQUANT","CASES_A_COMPLETER","PREUVES_TEXTE_A_REMPLIR","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/PREUVE_IMAGE_attaches-cables-velcro-lot-partenaire-hold.md","business-maxi-trouvailles/preuves-images-publiques/attaches-cables-velcro-lot-partenaire-hold/depot-manuel","/uploads/partner-products/attaches-cables-velcro-lot-partenaire-hold.webp","Remplir le champ ""Meme article exact confirme"" dans la checklist, garder HOLD, puis relancer les audits image."
