rank,lane,id,label,status,nextAction,allowedAction,forbiddenActions,blockers,sourceFile
"11","produits_partenaires","prod_partner_car_vacuum_001","Mini aspirateur voiture sans fil","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"12","images_categories","dropshipping-cuisine","Cuisine","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-cuisine.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260611\categories\05-cuisine-dropshipping-cuisine\dropshipping-cuisine.webp"
"13","produits_partenaires","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"14","images_categories","dropshipping-beaute","Beauté","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-beaute.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260611\categories\01-beaute-dropshipping-beaute\dropshipping-beaute.webp"
"15","produits_partenaires","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"16","images_categories","dropshipping-animaux","Animaux","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-animaux.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260611\categories\02-animaux-dropshipping-animaux\dropshipping-animaux.webp"
"17","produits_partenaires","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"18","images_categories","dropshipping-mode","Mode","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-mode.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260611\categories\03-mode-dropshipping-mode\dropshipping-mode.webp"
"19","produits_partenaires","ali_partner_20260527_gourde_pliable_001","Gourde pliable silicone voyage avec mousqueton","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"20","images_categories","dropshipping-enfant","Enfant","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-enfant.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-next-batch-20260611\categories\04-enfant-dropshipping-enfant\dropshipping-enfant.webp"
"21","produits_partenaires","ali_partner_20260527_lampes_detection_001","Lampe LED à détection de mouvement USB rechargeable","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611\formulaires-preuves-rapides-20260611\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260611.json"
"22","produits_partenaires","ali_partner_20260527_support_tel_voiture_001","Support téléphone voiture flexible à ventouse 360°","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | supplierPriceCents | pays expedition / transporteur | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"23","photos_produits","ali_partner_20260527_pochette_cables_voyage_001#1","Pochette organisateur câbles double couche voyage - main","HOLD_PHOTO_MISSING","photo produit entier, pochette seule, angle 3/4, fermeture visible","deposer photo WebP exacte: 01-pochette-organisateur-cables-double-couche-voyage-main.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260611\produits\01-pochette-organisateur-cables-double-couche-voyage\01-pochette-organisateur-cables-double-couche-voyage-main.webp"
"24","produits_partenaires","ali_partner_20260605_paracorde_camping_001","Corde paracorde camping randonnée 5/15/30 m","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | supplierPriceCents | pays expedition / transporteur | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"25","photos_produits","ali_partner_20260527_pochette_cables_voyage_001#2","Pochette organisateur câbles double couche voyage - detail","HOLD_PHOTO_MISSING","detail interieur/compartiments et fermeture, sans objet non inclus trompeur","deposer photo WebP exacte: 02-pochette-organisateur-cables-double-couche-voyage-detail.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260611\produits\01-pochette-organisateur-cables-double-couche-voyage\02-pochette-organisateur-cables-double-couche-voyage-detail.webp"
"26","produits_partenaires","ali_partner_20260605_nano_tape_sdb_cuisine_001","Nano tape double-face salle de bain cuisine","HOLD_MISSING_EVIDENCE","Recontroler prix, livraison, droits images et risques avant de creer un formulaire de revue.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | supplierPriceCents | pays expedition / transporteur | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260611"
"27","photos_produits","ali_partner_20260527_pochette_cables_voyage_001#3","Pochette organisateur câbles double couche voyage - usage","HOLD_PHOTO_MISSING","mise en situation avec cables pour montrer l'usage, en precisant que les accessoires ne sont pas inclus si besoin","deposer photo WebP exacte: 03-pochette-organisateur-cables-double-couche-voyage-usage.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260611\produits\01-pochette-organisateur-cables-double-couche-voyage\03-pochette-organisateur-cables-double-couche-voyage-usage.webp"
"28","photos_produits","ali_partner_20260527_pochette_cables_voyage_001#4","Pochette organisateur câbles double couche voyage - dimensions","HOLD_PHOTO_MISSING","photo avec repere dimensions lisible ou preuve dimensions separee","deposer photo WebP exacte: 04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260611\produits\01-pochette-organisateur-cables-double-couche-voyage\04-pochette-organisateur-cables-double-couche-voyage-dimensions.webp"
"29","photos_produits","ali_partner_20260527_support_pc_pliant_001#1","Support PC portable pliant aluminium ajustable - main","HOLD_PHOTO_MISSING","support seul, deploye, angle 3/4, matiere et forme visibles","deposer photo WebP exacte: 01-support-pc-portable-pliant-aluminium-ajustable-main.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260611\produits\02-support-pc-portable-pliant-aluminium-ajustable\01-support-pc-portable-pliant-aluminium-ajustable-main.webp"
"30","photos_produits","ali_partner_20260527_support_pc_pliant_001#2","Support PC portable pliant aluminium ajustable - detail","HOLD_PHOTO_MISSING","detail charniere, reglages, patins ou pliage","deposer photo WebP exacte: 02-support-pc-portable-pliant-aluminium-ajustable-detail.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260611\produits\02-support-pc-portable-pliant-aluminium-ajustable\02-support-pc-portable-pliant-aluminium-ajustable-detail.webp"
"31","photos_produits","ali_partner_20260527_support_pc_pliant_001#3","Support PC portable pliant aluminium ajustable - usage","HOLD_PHOTO_MISSING","usage avec ordinateur en contexte uniquement; ne pas laisser penser que l'ordinateur est inclus","deposer photo WebP exacte: 03-support-pc-portable-pliant-aluminium-ajustable-usage.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260611\produits\02-support-pc-portable-pliant-aluminium-ajustable\03-support-pc-portable-pliant-aluminium-ajustable-usage.webp"
"32","photos_produits","ali_partner_20260527_support_pc_pliant_001#4","Support PC portable pliant aluminium ajustable - dimensions","HOLD_PHOTO_MISSING","dimensions, hauteur/reglage ou encombrement plie/deplie","deposer photo WebP exacte: 04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260611\produits\02-support-pc-portable-pliant-aluminium-ajustable\04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp"
"33","garde_fous","public_dropshipping_surface","Surface publique dropshipping","OK_NO_PUBLIC_SUPPLIER_LEAK","maintenir zero fuite client: AliExpress, prix fournisseur, liens fournisseur et images non prouvees restent bloques","audit lecture seule et correction wording client si besoin","afficher AliExpress | afficher lien fournisseur | afficher prix fournisseur | publier fiche sans image exacte","","business-maxi-trouvailles\tableaux-action\surface-publique-dropshipping-20260611\AUDIT_SURFACE_PUBLIQUE_DROPSHIPPING_20260611.json"
"34","garde_fous","checkout","Checkout et Stripe","OK_GUARDS_ACTIVE","maintenir les gardes actifs; ne pas toucher au paiement sans validation Mouss","audit lecture seule et correction de garde-fous si besoin","creer session Stripe reelle | deployer | modifier cles API","","business-maxi-trouvailles\file-validation-fournisseurs\AUDIT_CHECKOUT_ELIGIBILITY_20260611.json"
"35","garde_fous","partner_publication_gates","Publication produits partenaires","OK_ALL_PARTNERS_HOLD","37 produits partenaires restent en HOLD, ne rien publier","audit et enrichissement preuves en brouillon","publier | lever HOLD automatiquement | commander fournisseur","","business-maxi-trouvailles\file-validation-fournisseurs\AUDIT_ALL_PARTNER_GATES_20260611.json"
"36","garde_fous","surprise_hold","Colis surprises et palettes","OK_NON_VENDABLES","conserver badge A venir et achat bloque","audit hold et correction badge/boutons si besoin","vendre colis surprise | activer paiement | publier palettes","","business-maxi-trouvailles\file-validation-fournisseurs\AUDIT_SURPRISES_NON_VENDABLES_20260611.json"
