rank,lane,id,label,status,nextAction,allowedAction,forbiddenActions,blockers,sourceFile
"11","images_publiques_exactes","cable-usb-c-240w-renforce-best-seller#mouss-review","Câble USB-C 240W renforcé best-seller - revue Mouss image","HOLD_A_COMPLETER","Deposer le WebP exact cable-usb-c-240w-renforce-best-seller.webp, puis relancer les audits image.","remplir champs texte, deposer WebP exact, puis relancer les audits","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","champs texte: Source image exacte, Droits image, Meme article exact confirme, Variante exacte confirmee, Validation Mouss, Decision copie publique | expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/cable-usb-c-240w-renforce-best-seller/PREUVE_IMAGE_cable-usb-c-240w-renforce-best-seller.md"
"12","images_publiques_exactes","lampe-velo-usb-rechargeable-affichage-batterie#mouss-review","Lampe vélo USB rechargeable affichage batterie - revue Mouss image","HOLD_A_COMPLETER","Deposer le WebP exact lampe-velo-usb-rechargeable-affichage-batterie.webp, puis relancer les audits image.","remplir champs texte, deposer WebP exact, puis relancer les audits","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","champs texte: Source image exacte, Droits image, Meme article exact confirme, Variante exacte confirmee, Validation Mouss, Decision copie publique | expected_webp_missing","business-maxi-trouvailles/preuves-images-publiques/lampe-velo-usb-rechargeable-affichage-batterie/PREUVE_IMAGE_lampe-velo-usb-rechargeable-affichage-batterie.md"
"13","images_publiques_exactes","public_image_text_proof_form","Formulaire preuves texte images","OK_TEXT_PROOF_FORM_READY_HOLD","72 lignes a remplir dans les checklists locales, puis relancer les audits image","remplir uniquement les checklists locales et garder HOLD","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","12 fiches avec preuves texte a remplir","business-maxi-trouvailles/tableaux-action/public-image-mouss-review-board-20260612/BOARD_MOUSS_IMAGES_PUBLIQUES_20260612.json"
"14","audit_kit_terrain","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","HOLD_FIELD_KIT_INCOMPLETE","remplir toutes les preuves, deposer les WebP exacts, puis relancer cet audit","remplir le JSON kit terrain, deposer les WebP exacts, puis relancer l'audit","publier | copier en public sans validation Mouss | commander fournisseur | payer","checkedAt:missing_or_placeholder | supplierSellerName:missing_or_placeholder | exactVariantChosen:missing_or_placeholder | deliveryFranceEuropeProof:missing_or_placeholder | deliveryEstimateForCustomer:missing_or_placeholder | trackingAvailable:missing_or_placeholder | trackingAvailable:tracking_answer_not_clear_yes_no | pricingProof:missing_or_placeholder | shippingProof:missing_or_placeholder | imageProof:missing_or_placeholder | imageRightsProof:missing_or_placeholder | finalDecision:missing_or_placeholder | finalDecision:final_decision_not_ready_review | reviewedByMouss:missing_or_placeholder | reviewedByMouss:missing_human_review_mouss | main:missing_image_proof | main:missing_webp_file | detail:missing_image_proof | detail:missing_webp_file | usage:missing_image_proof | usage:missing_webp_file | dimensions:missing_image_proof | dimensions:missing_webp_file","business-maxi-trouvailles\tableaux-action\audit-kit-terrain-validation-produits-20260611\AUDIT_KIT_TERRAIN_VALIDATION_PRODUITS_20260611.json"
"15","images_publiques_exactes","mini-humidificateur-usb-bureau-partenaire-hold#source_image_exacte","Mini humidificateur USB bureau - Source image exacte","HOLD_TEXT_PROOF_TO_FILL","Remplir le champ ""Source image exacte"" dans la checklist, garder HOLD, puis relancer les audits image.","remplir la checklist locale, conserver HOLD, puis relancer audit","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","format attendu: origine interne redigee ou reference fournisseur gardee hors artefact client | refuser si: image similaire, recherche generique, URL client, marketplace visible","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md"
"16","images_publiques_exactes","mini-humidificateur-usb-bureau-partenaire-hold#droits_image","Mini humidificateur USB bureau - Droits image","HOLD_TEXT_PROOF_TO_FILL","Remplir le champ ""Droits image"" dans la checklist, garder HOLD, puis relancer les audits image.","remplir la checklist locale, conserver HOLD, puis relancer audit","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","format attendu: permission fournisseur, photo propre Maxi Trouvaille ou licence utilisable | refuser si: droits inconnus, logo plateforme, watermark, image non autorisee","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md"
"17","images_publiques_exactes","mini-humidificateur-usb-bureau-partenaire-hold#meme_article_exact_confirme","Mini humidificateur USB bureau - Meme article exact confirme","HOLD_TEXT_PROOF_TO_FILL","Remplir le champ ""Meme article exact confirme"" dans la checklist, garder HOLD, puis relancer les audits image.","remplir la checklist locale, conserver HOLD, puis relancer audit","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","format attendu: oui avec comparaison nom, forme, fonction, accessoires et lot vendu | refuser si: produit proche, kit different, accessoire en plus, marque trompeuse","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md"
"18","images_publiques_exactes","mini-humidificateur-usb-bureau-partenaire-hold#variante_exacte_confirmee","Mini humidificateur USB bureau - Variante exacte confirmee","HOLD_TEXT_PROOF_TO_FILL","Remplir le champ ""Variante exacte confirmee"" dans la checklist, garder HOLD, puis relancer les audits image.","remplir la checklist locale, conserver HOLD, puis relancer audit","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","format attendu: couleur, taille, capacite, connectique et quantite identiques a la fiche | refuser si: variante non prouvee, couleur differente, pack affiche mais unite vendue","business-maxi-trouvailles/preuves-images-publiques/mini-humidificateur-usb-bureau-partenaire-hold/PREUVE_IMAGE_mini-humidificateur-usb-bureau-partenaire-hold.md"
"19","audit_kit_terrain","ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","HOLD_FIELD_KIT_INCOMPLETE","remplir toutes les preuves, deposer les WebP exacts, puis relancer cet audit","remplir le JSON kit terrain, deposer les WebP exacts, puis relancer l'audit","publier | copier en public sans validation Mouss | commander fournisseur | payer","checkedAt:missing_or_placeholder | supplierSellerName:missing_or_placeholder | exactVariantChosen:missing_or_placeholder | deliveryFranceEuropeProof:missing_or_placeholder | deliveryEstimateForCustomer:missing_or_placeholder | trackingAvailable:missing_or_placeholder | trackingAvailable:tracking_answer_not_clear_yes_no | pricingProof:missing_or_placeholder | shippingProof:missing_or_placeholder | imageProof:missing_or_placeholder | imageRightsProof:missing_or_placeholder | finalDecision:missing_or_placeholder | finalDecision:final_decision_not_ready_review | reviewedByMouss:missing_or_placeholder | reviewedByMouss:missing_human_review_mouss | main:missing_image_proof | main:missing_webp_file | detail:missing_image_proof | detail:missing_webp_file | usage:missing_image_proof | usage:missing_webp_file | dimensions:missing_image_proof | dimensions:missing_webp_file","business-maxi-trouvailles\tableaux-action\audit-kit-terrain-validation-produits-20260611\AUDIT_KIT_TERRAIN_VALIDATION_PRODUITS_20260611.json"
"20","audit_kit_terrain","ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_FIELD_KIT_INCOMPLETE","remplir toutes les preuves, deposer les WebP exacts, puis relancer cet audit","remplir le JSON kit terrain, deposer les WebP exacts, puis relancer l'audit","publier | copier en public sans validation Mouss | commander fournisseur | payer","checkedAt:missing_or_placeholder | supplierSellerName:missing_or_placeholder | exactVariantChosen:missing_or_placeholder | deliveryFranceEuropeProof:missing_or_placeholder | deliveryEstimateForCustomer:missing_or_placeholder | trackingAvailable:missing_or_placeholder | trackingAvailable:tracking_answer_not_clear_yes_no | pricingProof:missing_or_placeholder | shippingProof:missing_or_placeholder | imageProof:missing_or_placeholder | imageRightsProof:missing_or_placeholder | finalDecision:missing_or_placeholder | finalDecision:final_decision_not_ready_review | reviewedByMouss:missing_or_placeholder | reviewedByMouss:missing_human_review_mouss | main:missing_image_proof | main:missing_webp_file | detail:missing_image_proof | detail:missing_webp_file | usage:missing_image_proof | usage:missing_webp_file | dimensions:missing_image_proof | dimensions:missing_webp_file | detail-5:missing_image_proof | detail-5:missing_webp_file | detail-6:missing_image_proof | detail-6:missing_webp_file","business-maxi-trouvailles\tableaux-action\audit-kit-terrain-validation-produits-20260611\AUDIT_KIT_TERRAIN_VALIDATION_PRODUITS_20260611.json"
"21","preuves_sourcing_integration","integration_articles_20260612_housse-protection-canape-animal#top3-sourcing","Housse protection canape animal - sprint sourcing","HOLD_TOP3_SOURCING_NO_PUBLICATION","Verifier la fiche produit exacte et garder HOLD si un seul doute existe.","remplir les preuves manuelles et deposer les WebP exacts en conservant HOLD","lever HOLD automatiquement | publier | copier image publique | commander fournisseur","11 preuves a remplir | 3 WebP exacts attendus | Fournisseur / SKU | Prix / stock / marge | Livraison / suivi","business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/housse-protection-canape-animal-partenaire-hold"
"22","preuves_sourcing_integration","integration_articles_20260612_cable-organizer-boite-multiprise#top3-sourcing","Cache multiprise boite rangement cables - sprint sourcing","HOLD_TOP3_SOURCING_NO_PUBLICATION","Verifier la fiche produit exacte et garder HOLD si un seul doute existe.","remplir les preuves manuelles et deposer les WebP exacts en conservant HOLD","lever HOLD automatiquement | publier | copier image publique | commander fournisseur","11 preuves a remplir | 3 WebP exacts attendus | Fournisseur / SKU | Prix / stock / marge | Livraison / suivi","business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/cache-multiprise-boite-rangement-cables-partenaire-hold"
"23","preuves_sourcing_integration","audit_top3_sourcing_integration","Audit sprint top 3 sourcing integration","OK_TOP3_SOURCING_GUARDED","3 produits, 9 WebP attendus, 0 echec, 0 fuite","utiliser le sprint top 3 uniquement si l'audit reste OK et HOLD","lever HOLD automatiquement | publier | copier image publique | commander fournisseur","","business-maxi-trouvailles/tableaux-action/top3-sourcing-integration-articles/20260612/TOP3_SOURCING_INTEGRATION_20260612.json"
"24","preuves_sourcing_integration","integration_articles_20260612_trousse-toilette-suspendue-voyage#top3-sourcing","Trousse toilette suspendue voyage - sprint sourcing","HOLD_TOP3_SOURCING_NO_PUBLICATION","Verifier la fiche produit exacte et garder HOLD si un seul doute existe.","remplir les preuves manuelles et deposer les WebP exacts en conservant HOLD","lever HOLD automatiquement | publier | copier image publique | commander fournisseur","11 preuves a remplir | 3 WebP exacts attendus | Fournisseur / SKU | Prix / stock / marge | Livraison / suivi","business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/trousse-toilette-suspendue-voyage-partenaire-hold"
"25","preuves_sourcing_integration","top3_parallel_proofs_workpack","Pack parallele top 3 preuves critiques","OK_TOP3_PARALLEL_PROOFS_GUARDED","15 preuves critiques, 3 produits, audit OK_TOP3_PARALLEL_PROOFS_GUARDED","remplir manuellement le CSV parallele puis relancer les audits","lever HOLD automatiquement | publier | copier image publique | commander fournisseur","","business-maxi-trouvailles/tableaux-action/top3-preuves-paralleles-sourcing-integration-articles/20260612/TOP3_PREUVES_PARALLELES_SOURCING_INTEGRATION_20260612.json"
"26","images_exactes","top3_webp_workpack","Pack WebP exacts top 3 sourcing","OK_TOP3_WEBP_WORKPACK_GUARDED","9 WebP exacts attendus, 3 produits, audit OK_TOP3_WEBP_WORKPACK_GUARDED","deposer seulement des WebP exacts locaux apres preuve droits/image et validation Mouss","telecharger automatiquement | copier image publique | lever HOLD automatiquement | publier | commander fournisseur","","business-maxi-trouvailles/tableaux-action/top3-webp-sourcing-integration-articles/20260612/TOP3_WEBP_SOURCING_INTEGRATION_20260612.json"
"27","images_exactes","top3_webp_depot_files_audit","Audit depots WebP top 3","HOLD_TOP3_WEBP_FILES_MISSING","0/9 WebP valides, 9 manquants, 0 invalides","deposer ou corriger uniquement les WebP exacts locaux puis relancer l'audit","telecharger automatiquement | copier image publique | lever HOLD automatiquement | publier | commander fournisseur","Housse protection canape animal / main: expected_webp_missing | Housse protection canape animal / detail: expected_webp_missing | Housse protection canape animal / variant: expected_webp_missing | Cache multiprise boite rangement cables / main: expected_webp_missing | Cache multiprise boite rangement cables / detail: expected_webp_missing | Cache multiprise boite rangement cables / variant: expected_webp_missing | Trousse toilette suspendue voyage / main: expected_webp_missing | Trousse toilette suspendue voyage / detail: expected_webp_missing | Trousse toilette suspendue voyage / variant: expected_webp_missing","business-maxi-trouvailles/tableaux-action/top3-webp-sourcing-integration-articles/20260612/TOP3_WEBP_SOURCING_INTEGRATION_20260612.json"
"28","preuves_sourcing_integration","integration_articles_20260612_housse-protection-canape-animal#exactProductUrl","Housse protection canape animal - URL produit exacte","TO_FILL_HOLD","Remplir manuellement la preuve, verifier que cela concerne le meme article exact, puis relancer les audits.","remplir preuve manuelle, capture ou fichier, puis garder HOLD avant revue Mouss","publier | inventer prix ou stock | utiliser produit similaire | commander fournisseur","format attendu: URL https de la fiche article exacte | refuser si: URL de recherche, marketplace interdite, produit similaire ou variante floue","business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\housse-protection-canape-animal-partenaire-hold"
"29","images_exactes","top3_webp_depot_session","Session depot WebP top 3","OK_TOP3_WEBP_DEPOT_SESSION_GUARDED","3 dossiers prets, 9 WebP attendus, audit OK_TOP3_WEBP_DEPOT_SESSION_GUARDED","ouvrir les dossiers prepares, deposer les WebP exacts, puis relancer les audits","telecharger automatiquement | copier image publique | lever HOLD automatiquement | publier | commander fournisseur","","business-maxi-trouvailles/tableaux-action/session-depot-top3-webp-sourcing-integration-articles/20260612/SESSION_DEPOT_TOP3_WEBP_SOURCING_INTEGRATION_20260612.json"
"30","preuves_sourcing_integration","integration_articles_20260612_housse-protection-canape-animal#partnerName","Housse protection canape animal - Nom vendeur ou partenaire","TO_FILL_HOLD","Remplir manuellement la preuve, verifier que cela concerne le meme article exact, puis relancer les audits.","remplir preuve manuelle, capture ou fichier, puis garder HOLD avant revue Mouss","publier | inventer prix ou stock | utiliser produit similaire | commander fournisseur","format attendu: Nom stable du vendeur, boutique ou partenaire | refuser si: Vendeur inconnu, nom generique ou preuve absente","business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\housse-protection-canape-animal-partenaire-hold"
"31","garde_fous","top3_business_gate","Gate business top 3","HOLD_TOP3_BUSINESS_GATE_BLOCKED","0/15 preuves, 0/9 WebP, 24 blocages","remplir les preuves critiques, deposer les WebP exacts, puis relancer le gate","publier | mettre en vente | commander fournisseur | exposer fournisseur client | copier image publique sans validation","Housse protection canape animal: 5 preuves, 3 images, 0 invalides | Cache multiprise boite rangement cables: 5 preuves, 3 images, 0 invalides | Trousse toilette suspendue voyage: 5 preuves, 3 images, 0 invalides","business-maxi-trouvailles/tableaux-action/top3-preuves-paralleles-sourcing-integration-articles/20260612/TOP3_PREUVES_PARALLELES_SOURCING_INTEGRATION_20260612.json"
"32","preuves_sourcing_integration","integration_articles_20260612_housse-protection-canape-animal#supplierSku","Housse protection canape animal - SKU/reference fournisseur","TO_FILL_HOLD","Remplir manuellement la preuve, verifier que cela concerne le meme article exact, puis relancer les audits.","remplir preuve manuelle, capture ou fichier, puis garder HOLD avant revue Mouss","publier | inventer prix ou stock | utiliser produit similaire | commander fournisseur","format attendu: SKU, item id ou reference fournisseur stable | refuser si: Reference absente ou non reutilisable pour une commande manuelle","business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\housse-protection-canape-animal-partenaire-hold"
"33","preuves_sourcing_integration","top3_unblock_plan","Plan deblocage top 3","OK_TOP3_UNBLOCK_PLAN_GUARDED","24/24 actions restantes, 15 preuves, 9 WebP, audit OK_TOP3_UNBLOCK_PLAN_GUARDED","utiliser le plan en lecture seule pour traiter preuves et WebP exacts dans l'ordre","publier | mettre en vente | commander fournisseur | exposer fournisseur client | copier image publique sans validation","Housse protection canape animal: URL produit exacte | Housse protection canape animal: Nom vendeur ou partenaire | Housse protection canape animal: SKU/reference fournisseur | Housse protection canape animal: Variante exacte vendue | Housse protection canape animal: Prix fournisseur reel en centimes | Housse protection canape animal: WebP main - housse-protection-canape-animal-partenaire-hold-main.webp","business-maxi-trouvailles/tableaux-action/plan-deblocage-top3-sourcing-integration-articles/20260612/PLAN_DEBLOCAGE_TOP3_SOURCING_INTEGRATION_20260612.json"
"34","preuves_sourcing_integration","integration_articles_20260612_housse-protection-canape-animal#exactVariant","Housse protection canape animal - Variante exacte vendue","TO_FILL_HOLD","Remplir manuellement la preuve, verifier que cela concerne le meme article exact, puis relancer les audits.","remplir preuve manuelle, capture ou fichier, puis garder HOLD avant revue Mouss","publier | inventer prix ou stock | utiliser produit similaire | commander fournisseur","format attendu: Couleur, taille, dimensions, lot et accessoires inclus | refuser si: Variante non identique aux images ou a la description Maxi","business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\housse-protection-canape-animal-partenaire-hold"
"35","preuves_sourcing_integration","next_wave_sourcing_integration","Prochaine vague sourcing integration","OK_NEXT_WAVE_SOURCING_GUARDED","12 produits HOLD, 60 preuves, 36 WebP, audit OK_NEXT_WAVE_SOURCING_GUARDED","utiliser la vague en lecture seule pour remplir preuves internes et depots WebP exacts","publier | mettre en vente | commander fournisseur | exposer fournisseur client | copier image publique sans validation","Etagere douche angle adhesive: preuves et WebP exacts a remplir | Boite a the compartiments bambou: preuves et WebP exacts a remplir | Organisateur coffre voiture pliable: preuves et WebP exacts a remplir | Organisateur tiroir cuisine extensible: preuves et WebP exacts a remplir | Sacs compression voyage lot: preuves et WebP exacts a remplir | Sac repas isotherme pliable: preuves et WebP exacts a remplir","business-maxi-trouvailles/tableaux-action/prochaine-vague-sourcing-integration-articles/20260612/NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"36","preuves_sourcing_integration","integration_articles_20260612_housse-protection-canape-animal#supplierPriceCents","Housse protection canape animal - Prix fournisseur reel en centimes","TO_FILL_HOLD","Remplir manuellement la preuve, verifier que cela concerne le meme article exact, puis relancer les audits.","remplir preuve manuelle, capture ou fichier, puis garder HOLD avant revue Mouss","publier | inventer prix ou stock | utiliser produit similaire | commander fournisseur","format attendu: Nombre entier en centimes, hors invention | refuser si: Prix absent, prix estime ou marge cible non tenable","business-maxi-trouvailles\depots-images-exactes\integration-articles\20260612\housse-protection-canape-animal-partenaire-hold"
"37","preuves_sourcing_integration","audit_pilotage_sourcing_integration","Audit pilotage sourcing integration","OK_PRIORITY_BOARD_GUARDED","10 produits, 110 preuves, 30 WebP attendus, 0 echec","utiliser le board en lecture seule pour prioriser preuves et depots WebP exacts","lever HOLD automatiquement | publier | copier image publique | commander fournisseur","","business-maxi-trouvailles/tableaux-action/pilotage-sourcing-integration-articles/20260612/PILOTAGE_SOURCING_INTEGRATION_20260612.json"
"38","preuves_sourcing_integration","next_wave_sourcing_session","Session terrain prochaine vague","OK_NEXT_WAVE_SESSION_GUARDED","3 lots, 12 produits, 60 preuves, 36 WebP, lot actif lot-01","traiter les lots en lecture seule, remplir preuves internes et depots WebP exacts","publier | mettre en vente | commander fournisseur | exposer fournisseur client | copier image publique sans validation","lot-01: 4 produits, 20 preuves, 12 WebP | lot-02: 4 produits, 20 preuves, 12 WebP | lot-03: 4 produits, 20 preuves, 12 WebP","business-maxi-trouvailles/tableaux-action/session-prochaine-vague-sourcing-integration-articles/20260612/SESSION_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"39","preuves_sourcing_integration","audit_next_proofs_integration","Audit prochaines preuves sourcing integration","HOLD_NEXT_PROOFS_TO_FILL","5 preuves HOLD, 0 pretes revue, 35 blocages metier","remplir uniquement les preuves manuelles puis relancer l'audit","publier | lever HOLD automatiquement | copier image publique | commander fournisseur","","business-maxi-trouvailles\tableaux-action\prochaines-preuves-sourcing-integration-articles\20260612\PROCHAINES_PREUVES_SOURCING_INTEGRATION_20260612.json"
"40","preuves_sourcing_integration","next_wave_active_batch","Lot actif prochaine vague","OK_NEXT_WAVE_ACTIVE_BATCH_GUARDED","lot-01: 4 produits, 20 preuves, 12 WebP, 32 actions terrain","traiter uniquement ce lot en lecture seule, preuves internes puis WebP exacts locaux","publier | mettre en vente | commander fournisseur | exposer fournisseur client | copier image publique sans validation","Etagere douche angle adhesive: 5 preuves et 3 WebP a traiter | Boite a the compartiments bambou: 5 preuves et 3 WebP a traiter | Organisateur coffre voiture pliable: 5 preuves et 3 WebP a traiter | Organisateur tiroir cuisine extensible: 5 preuves et 3 WebP a traiter","business-maxi-trouvailles/tableaux-action/lot-actif-prochaine-vague-sourcing-integration-articles/20260612/ACTIVE_BATCH_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
"41","garde_fous","next_wave_active_batch_business_gate","Gate business lot actif","HOLD_NEXT_WAVE_ACTIVE_BATCH_BUSINESS_GATE_BLOCKED","lot-01: 0/20 preuves, 0/12 WebP, 32 blocages","remplir les preuves internes, deposer les WebP exacts, puis relancer le gate","publier | mettre en vente | commander fournisseur | exposer fournisseur client | copier image publique sans validation","Etagere douche angle adhesive: 5 preuves, 3 images, 0 invalides | Boite a the compartiments bambou: 5 preuves, 3 images, 0 invalides | Organisateur coffre voiture pliable: 5 preuves, 3 images, 0 invalides | Organisateur tiroir cuisine extensible: 5 preuves, 3 images, 0 invalides","business-maxi-trouvailles/tableaux-action/lot-actif-prochaine-vague-sourcing-integration-articles/20260612/ACTIVE_BATCH_NEXT_WAVE_SOURCING_INTEGRATION_20260612.json"
